Company,Group,Change
Gandhi Special,B,+   0.15
Pyramid Technoplast,B,+   0.14
Entertainment Networ,B,+   0.14
Saurashtra Cemen,B,+   0.14
Lyka Labs,B,+   0.13
Enkei Wheels (India),B,+   0.13
Compucom Softwr,B,+   0.13
DJ Mediaprint & Logi,B,+   0.13
Mafatlal Ind,B,+   0.12
IL&FS Investment Man,B,+   0.11
Wendt (India),B,+   0.11
TBO Tek,B,+   0.11
Lloyds Enterprises,B,+   0.09
Oswal Green Tech,B,+   0.09
Bhatia Communication,B,+   0.09
Monarch Networth Cap,B,+   0.08
Heubach Colorants,B,+   0.08
Deep Industries,B,+   0.08
Premier Polyfilm,B,+   0.07
BLS E-Services,B,+   0.07
Cyber Media (India),B,+   0.07
Uma Exports,B,+   0.07
Airan Ltd.,B,+   0.07
Ashapura Min. Lt,B,+   0.07
IFB Industries,B,+   0.05
Affordable Robotic,B,+   0.05
Innova Captab,B,+   0.05
Oricon Enterprises L,B,+   0.04
Vaswani Industries L,B,+   0.04
Pennar Industrie,B,+   0.04
Coral India Finance,B,+   0.02
GE Vernova T&D India,B,+   0.00
